youtube_id,description_en,acquired_from,description_ar,recording_date,location_latitude,location_longitude,weapons,location,reference_code,type_of_violation,,notes
JoUeZpdMnbY,"Two casualties and five Injured in an alleged Russian airstrike with cluster and phosphorus bombs on al-Barrah
",SMART News Agency - وكالة سمارت للأنباء,"مقتل شخصين وجرح خمسة في غارات روسية على البارة بالقنابل العنقودية والفوسفورية مساء أمس
",2016-06-26 12:21:01+00:00,35.6879042,36.539177,[<Weapon: Cluster Munition>],IDLIB : al-Barrah,CL_1021,Use of illegal weapons,,
TRWB2rT05mk,"Alleged Russian airstrikes in al-Barrah in Idlib province with four cluster and phosphorous bombs resulted of casualties and injured civilians. 
",معاذ الشامي,"الطائرات الروسية تستهدف بأربع غارات عنقودية وفوسفورية بلدة البارة بريف إدلب مخلفة شهداء وجرحى
",2016-06-25 12:18:22+00:00,35.6879042,36.539177,[<Weapon: Cluster Munition>],IDLIB : al-Barrah,CL_1022,Use of illegal weapons,,
s__I1uEsdD4,"Step Agency the moment of Strike with Cluster Bombs on Oram Al Kubra Town west of Aleppo
",Step News Agency,"خطوة || لحظة القصف بالقنابل العنقودية على بلدة أورم الكبرى غربي ""حلب""
",2016-06-24 12:16:54+00:00,36.1502725,36.9460462,[<Weapon: Cluster Munition>],ALEPPO : Urum al-Kubra,CL_1023,Use of illegal weapons,,
-DoJadcClb0,"The first moments of the airstrike on Kafar Naha Town with cluster bombs 
",Buraq.Media.Foundation,"اللحظات الأولى من القصف الجوي على بلدة ""كفر ناها"" بالقنابل العنقودية.
",2016-06-23 12:14:50+00:00,36.12838221,36.88740178,[<Weapon: Cluster Munition>],ALEPPO : Kafar Naha,CL_1024,Use of illegal weapons,,
Kg6RRVcRqDE,"A Russian air raid with cluster bombs before Iftar (breaking fast) in Urm Al Kubra 
",شبكة عين الثورة الإخبارية,"غاراة جوية روسية عنقودية  قبل الأفطارعلى بلدة اورم الكبرى
",2016-06-23 12:13:03+00:00,36.1502725,36.9460462,[<Weapon: Cluster Munition>],ALEPPO : Urum al-Kubra,CL_1025,Use of illegal weapons,,
Mi2zFqLUOJo,"The Russian aggressor targets Hreytan North of Aleppo with internationally banned phosphorous bombs 22-06-2016
",سانا حلب الثورة Sana Aleppo Revolution,"العدوان الروسي يستهدف مدينة حريتان بريف حلب الشمالي بقنابل الفسفورالحارقة 22/6/2016
",2016-06-21 12:11:29+00:00,36.2861677,37.1097748,[<Weapon: Cluster Munition>],ALEPPO : Harithan,CL_1026,Use of illegal weapons,,
HOjMKHTM4YA,"The first moments of bombing by internationally banned phosphorous rockets on Harithan.
",وكالة ثقة,"وكالة ثقة || اللحظات الأولى  للقصف بالصواريخ الفوسفورية المحرمة دوليا على مدينة حريتان
",2016-06-21 12:09:33+00:00,36.28848568,37.08261713,[<Weapon: Cluster Munition>],ALEPPO : Harithan,CL_1027,Use of illegal weapons,,
Obd-PgP2wQk,"Warplanes target Talaf village with cluster bombs 18-6-2016
",مركز حمص الإعلامي,"الطيران الحربي يستهدف قرية طلف بالقنابل العنقودية 18-6-2016
",2016-06-18 12:02:00+00:00,34.912113,36.5580877,[<Weapon: Cluster Munition>],HAMA : Talaf,CL_1032,Use of illegal weapons,,
,"Russian warplanes drop cluster bombs on Latmeen village of northern Hama countryside 17-6-2016
",محمود الحموي,"الطيران الحربي الروسي يقصف بالصواريخ العنقودية قرية لطمين بريف حماة الشمالي 17 6 2016
",2016-06-17 11:59:00+00:00,35.3598353,36.6552673,[<Weapon: Cluster Munition>],HAMA : Latammin,CL_1034,Use of illegal weapons,,
UO_HvyHiNGc,"Watch the moment Anadan was targeted with cluster bombs by Russian warplanes.
",مركز عندان الإعلامي,"شاهد لحظة أستهداف مدينة عندان بالقنابل العنقودية من الطيران الحربي الروسي
",2016-06-10 11:58:00+00:00,36.2906257,37.0454009,[<Weapon: Cluster Munition>],ALEPPO : Anadan,CL_1035,Use of illegal weapons,,
yaT51USSWEY,"The civil defence center in Kafar Aleppo is out of service due to being targeted with cluster bombs and rockets.
",مركز حلب الإعلامي AMC,"خروج مركز الدفاع المدني في بلدة كفر حلب عن الخدمة بسبب استهدافه بالقنابل العنقودية والصواريخ
",2016-06-10 11:56:00+00:00,36.0602782,36.8721139,[<Weapon: Cluster Munition>],ALEPPO : Kafar Aleppo,CL_1036,Use of illegal weapons,,
zCJVlXnie0c,"Watch... Civil defence members collecting cluster bombs after warplanes bombed Maarat al-Nouman in Idlib.
",الدرر الشامية,"عناصر الدفاع المدني تجمع القنابل العنقودية بعد قصف الطيران لمعرة النعمان بإدلب
",2016-06-07 11:55:00+00:00,35.6479869,36.6795425,[<Weapon: Cluster Munition>],IDLIB : Maret Numan,CL_1037,Use of illegal weapons,,
0YZqMyiatAA,"The killing of a little girl in a Russian air strike with cluster bombs on Maarat al-Nouman south of Idlib.
",SMART News Agency - وكالة سمارت للأنباء,"مقتل طفلة في غارة للطيران الروسي بالقنابل العنقودية على معرة النعمان جنوب إدلب
",2016-06-07 11:53:00+00:00,35.6479869,36.6795425,[<Weapon: Cluster Munition>],IDLIB : Maret Numan,CL_1038,Use of illegal weapons,,
fwZVPzGdM3Y,"The place shelled by Russian cluster bombs in Maarat Al Nouman city in Idlib countryside. 7/6/2016
",baladi- news,"مكان قصف الطائرات الروسية بالقنابل العنقودية على مدينة معرة النعمان بريف ‫‏إدلب‬ 2016/6/7
",2016-06-07 11:26:00+00:00,35.6479869,36.6795425,[<Weapon: Cluster Munition>],IDLIB : Maret Numan,CL_1039,Use of illegal weapons,,
MR7ZxFftXmI,"An Air Raid with Cluster Bombs That Targeted last night Maret Alartik Town 
",مركز عندان الإعلامي,"غارة جوية بالقنابل العنقودية استهدفت مساء الأمس بلدة معارة الأرتيق
",2016-06-06 11:18:00+00:00,36.24796208,37.05347594,[<Weapon: Cluster Munition>],ALEPPO : Maret Artiq,CL_1041,Use of illegal weapons,,
_9trGtBeiV8,"Shelling with cluster bombs on Madaya in the first day of Ramadan and victims.
",Step News Agency," قصف بالقنابل العنقودية على مضايا مع اذان فجر اول ايام رمضان وسقوط ضحايا
",2016-06-06 11:14:00+00:00,33.6904957,36.1018973,[<Weapon: Cluster Munition>],DAMASCUS : Madaya,CL_1042,Use of illegal weapons,,
X0uqhoJvxNs,"The first Moments of the night Strike with Cluster Bombs on Hreytan Town 
",وكالة ثقة,"اللحظات الأولى للقصف الليلي بالقنابل العنقودية على مدينة حريتان
",2016-06-05 11:12:00+00:00,36.2835216,37.0823811,[<Weapon: Cluster Munition>],ALEPPO : Harithan,CL_1043,Use of illegal weapons,,
8oGE_M2_GN4,"The Syrian Civil Defense of Idlib || 5-6-2016 || Extinguishing a firein the market.
",القناة الاحتياط ادلب,"الدفاع المدني السوري ادلب || 5-6-2016 || إخماد حريق في السوق الشعبي
",2016-06-05 11:11:00+00:00,35.92685704,36.62838811,[<Weapon: Cluster Munition>],IDLIB,CL_1044,Use of illegal weapons,,"إخماد حريق في السوق الشعبي و ذلك بعد القصف العنيف بالقنابل العنقودية الذي تعرضت له مدينة ادلب
"
B85cF1kwheg,"Syrian Civil Defense Idlib 05-06-2016 extinguish a Fire in the local Market After Stong Raids
",القناة الاحتياط ادلب,"الدفاع المدني السوري ادلب || 5-6-2016 || إخماد حريق في السوق الشعبي بعد غارات عنيفة
",2016-06-05 11:10:00+00:00,35.93234757,36.6292035,[<Weapon: Cluster Munition>],IDLIB,CL_1045,Use of illegal weapons,,
b_SwBc3YskE," Russian Raids with Cluster and other bombs on Hretan, north of Aleppo 
",وكالة شهبا برس Shahba Press Agency,"الغارات الروسية بالقنابل العنقودية والفراغية على بلدة حريتان شمال حلب
",2016-06-05 11:08:00+00:00,36.2861677,37.1097748,[<Weapon: Cluster Munition>],ALEPPO : Harithan,CL_1046,Use of illegal weapons,,
9P4o7nKzMw4,"First Moments of the air Strike on Hreitan Town and Extinguishing the Fires due to the strike by Cluster Bombs  
",الدفاع المدني السوري - حلب,"اللحظات الاولى للقصف الجوي على بلدة حريتان و اخماد الحرائق نتيجة القصف بالقنابل العنقودية
",2016-06-05 11:05:00+00:00,36.2835216,37.0823811,[<Weapon: Cluster Munition>],ALEPPO : Harithan,CL_1047,Use of illegal weapons,,
NC9chooS95o,"The Regime targets the Main Market in Idlib With Cluster Bombs 
",Orient News - أنس تريسي,"النظام يستهدف السوق الرئيسي في ادلب بالقنابل العنقودية
",2016-06-05 11:02:00+00:00,34.80207062,38.99681091,[<Weapon: Cluster Munition>],IDLIB,CL_1048,Use of illegal weapons,,
4MmE7fN6MdE,"Raids on Saraqeb City with Cluster Rockets Causing Several Casualties 
",الناشط امجد باكير,"غارات على مدينة سراقب بالصواريخ العنقودية تسببة بسقوط شهيد وعدة اصابات
",2016-06-03 10:59:00+00:00,35.8614715,36.7981073,[<Weapon: Cluster Munition>],IDLIB : Saraqib nahiyah,CL_1050,Use of illegal weapons,,
RjZHVu3BNG4,"Civil Defense extinguishes fires in Hayan Town due to Air Strikes With Cluster Bombs 
",الدفاع المدني السوري - حلب,"الدفاع المدني يقوم باخماد حرائق في بلدة حيان جراء القصف الجوي بالقنابل العنقودية
",2016-06-03 10:57:00+00:00,36.3202591,37.0574754,[<Weapon: Cluster Munition>],ALEPPO : Hayyan,CL_1051,Use of illegal weapons,,
Ktk0aHWB56g,"Extinguishing fire due to cluster Strikes
",القناة الاحتياط ادلب,"إخماد حريق شب نتيجة القصف العنقودي على المدينة 
",2016-06-02 10:55:00+00:00,35.9581565,36.7118971,[<Weapon: Cluster Munition>],IDLIB : Binnish,CL_1052,Use of illegal weapons,,
ZA_Vi_A2Dcw,"The Civil Defense extinguish fires in the farmlands around Binnish after targeting it with Cluster Bombs 
",SMART News Agency - وكالة سمارت للأنباء,"الدفاع المدني يخمد حرائق  في الأراضي الزراعية المحيطة ببنش بعد استهدافها بالقنابل العنقودية
",2016-06-02 10:51:00+00:00,35.9581565,36.7118971,[<Weapon: Cluster Munition>],IDLIB : Binnish,CL_1053,Use of illegal weapons,,
LO9JQZHKSiw,"Injured civilians due to alleged Russian airstrikes around Saraqb using cluster bombs 
",Edlib Media-Center,"جرحى جراء  استهداف الطيران  الروسي  اطراف  سراقب  بالقنابل العنقودية
",2016-06-01 10:19:00+00:00,35.8614715,36.7981073,[<Weapon: Cluster Munition>],IDLIB : Saraqib nahiyah,CL_1060,Use of illegal weapons,,
0uQ47DnEYdM,"The Civil Defense team removing the remnants of unexploded cluster bombs in Hretan 
",الدفاع المدني السوري - حلب,"الدفاع المدني السوري يزيل بقايا القنابل العنقودية التي لم تنفجر في حريتان .
",2016-05-30 10:17:00+00:00,36.27897206,37.08136484,[<Weapon: Cluster Munition>],ALEPPO : Harithan,CL_1061,Use of illegal weapons,,
QPhx439lClk,"The civil defense team extinguishing a fire as a result of a cluster bomb attack in Anadan
",الدفاع المدني السوري - حلب,"إخماد حريق نشب بسبب القصف العنقودي على مدينة عندان
",2016-05-29 10:14:00+00:00,36.2906257,37.0454009,[<Weapon: Cluster Munition>],ALEPPO : Anadan,CL_1062,Use of illegal weapons,,
hK_34ZpVZNw,"Removal of cluster bombs by the Syrian Civil Defense
",الدفاع المدني السوري - حلب,"إزالة القنابل العنقودية 29-5-2016
",2016-05-29 10:12:00+00:00,36.3202591,37.0574754,[<Weapon: Cluster Munition>],ALEPPO : Hayyan,CL_1063,Use of illegal weapons,,"4 غارت من الطيران الحربي على #حيان وعناصر الدفاع المدني يقومون بازالة القنابل العنقودية وتأمين المنطقة
SHOW MORE
"
5dfDTxEu_fM,"The destruction in Anadan and Hretan as a result of airstrikes which included the use of cluster bombs
",ShaamNetwork S.N.N,"ريف حلب الشمالي مشاهد من الدمار في  بلدتي عندان وحريتان جراء قصف قوات الأسد 28 5 2016
",2016-05-28 10:09:00+00:00,36.2906257,37.0454009,[<Weapon: Cluster Munition>],ALEPPO : Anadan,CL_1064,Use of illegal weapons,,"واصل الطيران الروسي والمروحي غاراته الجوية بالصواريخ الفراغية والعنقودية والبراميل المتفجرة والتي ادت لسقوط عدد من الشهداء والجرحى في صفوف المدنيين في مدينتي عندان وحريتان وبلدتي حيان وكفرحمرة ومنطقة آسيا بالريف الشمالي، وأيضا منطقتي الملاح وطريق الكاستيلو ودوار ‏الجندول شمال حلب
SHOW MORE
"
DbNblweBwtw,"Bombing with cluster rockets on Kafarzita town in the countryside of Hamah 27-05-2016
",محمود الحموي,"قصف بالصواريخ العنقودية على مدينة كفرزيتا بريف حماة 27 5 2016
",2016-05-27 10:00:00+00:00,35.3740182,36.6012942,[<Weapon: Cluster Munition>],HAMA : KafrZita,CL_1065,Use of illegal weapons,,
wyjZ3SVZueI,"Casualties as a result of an airstrike which targeted a bakery in Hretan
",SMART News Agency - وكالة سمارت للأنباء,"ضحايا في قصف جوي على فرن في حريتان شمال حلب
",2016-05-27 09:52:00+00:00,36.28613311,37.11002156,[<Weapon: Cluster Munition>],ALEPPO : Harithan,CL_1066,Use of illegal weapons,,
pvkt1EM8QM0,"Syrian Civil Defense removing unexploded cluster bombs in Hretan  
",الدفاع المدني السوري - حلب,"الدفاع المدني السوري يزيل القنابل العنقودية التي لم تنفجر في حريتان .
",2016-05-27 09:50:00+00:00,36.2861677,37.1097748,[<Weapon: Cluster Munition>],ALEPPO : Harithan,CL_1067,Use of illegal weapons,,
KxMXXGxYs2c,"Remnants of a cluster rocket that was dropped by alleged Russian airstrike on Latamneh 
",محمود الحموي,"بقايا الصاروخ العنقودي الذي ألقاه الطيران الروسي على مدينة اللطامنة 27 5 2016
",2016-05-27 09:46:00+00:00,35.3250604,36.6255869,[<Weapon: Cluster Munition>],HAMA : latamneh,CL_1069,Use of illegal weapons,,
lxLvWSa-4PA,"Cluster bombs attacks in Latamneh
",محمود الحموي,"الطيران الحربي يُنفذ صواريخ عنقودية على مدينة اللطامنة بريف حماة  
",2016-05-26 09:44:00+00:00,35.32479779,36.62397757,[<Weapon: Cluster Munition>],HAMA : latamneh,CL_1070,Use of illegal weapons,,
9LAEoeXR5gI,"Casualties as a result of cluster bombs attack on the sheep market in saraqeb
",SMART News Agency - وكالة سمارت للأنباء,"ضحايا في غارة بالقنابل العنقودية على سوق المواشي في مدينة سراقب شرق إدلب
",2016-05-26 09:43:00+00:00,35.8614715,36.7981073,[<Weapon: Cluster Munition>],IDLIB : Saraqib nahiyah,CL_1071,Use of illegal weapons,,
dqViDh_dk-A,"Cluster bomb attack in Alsayad in Hama
",محمود الحموي,"الطيران الحربي يُنفذ عنقودي على قرية الصياد بريف حماة الشمالي 25 5 2016
",2016-05-25 09:40:00+00:00,35.3991343,36.6195145,[<Weapon: Cluster Munition>],HAMA : Alsayad,CL_1073,Use of illegal weapons,,
dDCM-Bphui8,"Cluster bomb attack in Latamneh 
",محمود الحموي,"الطيران الحربي يُنفذ صواريخ عنقودية على مدينة اللطامنة بريف حماة 25 5 2016
",2016-05-25 09:37:00+00:00,35.3250604,36.6255869,[<Weapon: Cluster Munition>],HAMA : latamneh,CL_1074,Use of illegal weapons,,
Qc4uDo-58jQ,"Warplanes presumed to be Russian Dropping Cluster Bombs on the Town 
","""ShaamNetwork S.N.N ""","حلب - عنجارة: إلقاء طيران حربي يزعم أنه روسي قنابل عنقودية على البلدة
",2016-02-21 11:01:00+00:00,36.2235159,36.9514202,[<Weapon: Cluster Munition>],ALEPPO : Anjara,CL_1049,Use of illegal weapons,,"استهدفت اليوم بلدة عينجارة بريف حلب الغربي بالقنابل العنقودية بغارتين من الطيران الروسي إحدى الغارات كانت من الطرف الغربي للبلدة وأدت إلى وقوع عشرات الإصابات مع استشهاد امرأة وطفلة لا تتجاوز العامين ورجل من قرية قبتان الجبل كانت متواجد في بلدة عينجارة اما الغارة الثانية التي استهدفت البلدة من الطرف الغربي أيضا كان هنالك اصابات كثيرة بالإضافة إلى استشهاد طفلين ورجل ليصبح مجموع الشهداء ست شهداء

"
Tbh7Mk5aggE,"Cluster bomb targeted a civilian house in Homs
",talbisa h,"المكرمية قنبلة عنقودية تسقط على احد المنازل المدنيين 20 2 2016
",2016-02-20 09:14:00+00:00,34.833601,36.735749,[<Weapon: Cluster Munition>],HOMS :  Al Mukarramiyah ,CL_1080,Use of illegal weapons,,
SqvQKXIVMrk,"Homs-Almakrameh the cluster bombes that were warplanes bombed, alleged it was Russian P2: 18-02-2016
","""شبكة تلبيسة مباشر ""","حمص – المكرمية: القنابل العنقودية التي قصفها الطيران الحربي يزعم أنه روسي جـ2 18 2 2016
",2016-02-18 10:49:00+00:00,34.95009817,36.91164588,[<Weapon: Cluster Munition>],HOMS :  Al Mukarramiyah ,CL_1054,Use of illegal weapons,,
jXo-j8EhLhg,"Homs Almukaramia cluster bomb attack presumably by Russian airforce 18-02-2016
","""شبكة تلبيسة مباشر ""","حمص – المكرمية: القنابل العنقودية التي قصفها الطيران الحربي يزعم أنه روسي جـ1 18 2 2016
",2016-02-18 10:47:00+00:00,34.87483212,36.81584243,[<Weapon: Cluster Munition>],HOMS :  Al Mukarramiyah ,CL_1055,Use of illegal weapons,,جانب من مخلفات القنابل العنقودية التي تم ألقائها من قبل الطيران الحربي الروسي حيث استهدفت قرية #المكرمية
VKheY15TYkM,Injured child as a result of a cluster attack by an alleged Russian airstrike in Homs,talbisa h,تلبيسة 18 2 2016 إصابة طفلة صغيرة نتيجة الغارات العنقودية من الطيران الروسي,2016-02-18 09:07:00+00:00,34.833601,36.735749,[<Weapon: Cluster Munition>],HOMS : Talbisah,CL_1081,Use of illegal weapons,,
6VCiaJVjYl0,"Cluster bombs attack in Aleppo as a result of alleged Russian airstrike
","""شبكة حلب نيوز - Halab News Network ""","حلب – الأشرفية: قصف من الطيران الحربي يزعم أنه روسي بصاروخ يحوي قنابل عنقودية
",2016-02-16 10:21:00+00:00,36.24131086,37.14015079,[<Weapon: Cluster Munition>],ALEPPO : Ashrafieh,CL_1059,Use of illegal weapons,,
3gY-thldH_k,"Remnants of cluster bombs as a result of an alleged Russian attack in Dara
","""Abdalrahman Hariri ""","درعا – الصورة: حواطن القنايل العنقودية التي قصفها الطيران الحربي يزعم أنه روسي جـ2 14 2 2016
",2016-02-14 10:43:00+00:00,32.7523643,36.2603729,[<Weapon: Cluster Munition>],DARAA : Al soura,CL_1057,Use of illegal weapons,,
_xoG7S7g65w,"Remnants of cluster bombs as a result of an alleged Russian attack in Dara
","""Abdalrahman Hariri ""","درعا – الصورة: حواطن القنايل العنقودية التي قصفها الطيران الحربي يزعم أنه روسي 14 2 2016
",2016-02-14 10:32:00+00:00,32.7523643,36.2603729,[<Weapon: Cluster Munition>],DARAA : Al soura,CL_1058,Use of illegal weapons,,
Tqmi3iGkcKE,"Homs Talbise Strikes with rockets packed with cluster bombs presumably dropped by Russian airforce 05-02-2016
",talbisa h,"حمص – تلبيسة: قصف بالصواريخ المحملة بالقنايل العنقودية من الطيران الحربي يزعم أنه روسي 5 2 2016
",2016-02-05 10:46:00+00:00,34.8422936,36.7307641,[<Weapon: Cluster Munition>],HOMS : Talbisah,CL_1056,Use of illegal weapons,,
wFLgxYdm6FQ,White helmet team cleaning the remnants of the cluster bombs,Hayan Media Office,"تفكيك القنابل العنقودية
",2016-02-04 09:25:00+00:00,36.3202591,37.0574754,[<Weapon: Cluster Munition>],ALEPPO : Hayyan,CL_1077,Use of illegal weapons,,"الدفاع المدني يقوم بإزالة القنابل العنقودية من بين منازل المدنيين

"
-AMyqvBJv_Q,"Cluster bomb attack in Aleppo as a result of alleged Russian airstrike
",مـديـنـة حـريـتـان,"حريتان || اللحظات الأولية للقصف بالقنابل العنقودية على المدينة 3-2-2016
",2016-02-03 09:23:00+00:00,36.2861677,37.1097748,[<Weapon: Cluster Munition>],ALEPPO : Harithan,CL_1078,Use of illegal weapons,,
lgEVdYaId1I,"Cluster bomb attack on Hretan as a result of alleged Russian airstrike
",الدفاع المدني السوري - حلب,"حريتان || مشاهد من الغارات الروسية على المدينة بالقنابل العنقودية والصواريخ 
",2016-02-03 09:19:00+00:00,36.2861677,37.1097748,[<Weapon: Cluster Munition>],ALEPPO : Harithan,CL_1079,Use of illegal weapons,,
qHAsdcWApYQ,"Cluster bomb attack in Aleppo as a result of alleged Russian airstrike
",وكالة شهبا برس Shahba Press Agency,"حلب – مارع: قنابل عنقودية قصفها الطيران الحربي يزعم انه روسي 29 1 2016
",2016-01-29 09:31:00+00:00,36.4797283,37.1955175,[<Weapon: Cluster Munition>],ALEPPO : Mar'e,CL_1075,Use of illegal weapons,,
e98wNtnKtME,"Cluster bomb attack in Aleppo as a result of alleged Russian airstrike
","""ماجد احمد ""","حلب – كفرحمرة: قنابل عنقودية قصفها الطيران الحربي يزعم انه روسي 29 1 2016
",2016-01-29 09:28:00+00:00,36.2564064,37.0883232,[<Weapon: Cluster Munition>],ALEPPO : Kafr hamrah,CL_1076,Use of illegal weapons,,
,The use of cluster munitions in Duma against civilians,Yasser Doumany,قنابل عنقودية يستخدمها الجيش السوري بقصف الأهالي في دوما,2015-12-13 11:22:41+00:00,33.572677,36.401873,[<Weapon: Cluster Munition>],DAMASCUS : Duma,CL_1001,Use of illegal weapons,,
